No,Snort,Time,Source,Destination,Protocol,Length,Info
4950,0,24:55.3,192.168.253.136,192.168.253.140,FTP,104,Response: 530 Please login with USER and PASS.
4951,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,37822  >  21 [ACK] Seq=230 Ack=21 Win=64256 Len=0 TSval=2740647598 TSecr=1917887099
4952,0,24:55.3,192.168.253.136,192.168.253.140,FTP,104,Response: 530 Please login with USER and PASS.
4953,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,37822  >  21 [ACK] Seq=230 Ack=59 Win=64256 Len=0 TSval=2740647598 TSecr=1917887100
4954,0,24:55.3,192.168.253.136,192.168.253.140,FTP,142,Response: 530 Please login with USER and PASS.
4955,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,37822  >  21 [ACK] Seq=230 Ack=97 Win=64256 Len=0 TSval=2740647598 TSecr=1917887100
4956,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,37822  >  21 [ACK] Seq=230 Ack=135 Win=64256 Len=0 TSval=2740647598 TSecr=1917887100
4957,0,24:55.3,192.168.253.136,192.168.253.140,FTP,104,Response: 530 Please login with USER and PASS.
4958,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,37822  >  21 [ACK] Seq=230 Ack=211 Win=64256 Len=0 TSval=2740647598 TSecr=1917887100
4959,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,37822  >  21 [ACK] Seq=230 Ack=249 Win=64256 Len=0 TSval=2740647598 TSecr=1917887100
4960,0,24:55.3,192.168.253.136,192.168.253.140,FTP,104,Response: 530 Please login with USER and PASS.
4961,0,24:55.3,192.168.253.136,192.168.253.140,FTP,104,Response: 530 Please login with USER and PASS.
4962,0,24:55.3,192.168.253.136,192.168.253.140,FTP,104,Response: 530 Please login with USER and PASS.
4963,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,37822  >  21 [ACK] Seq=230 Ack=287 Win=64256 Len=0 TSval=2740647599 TSecr=1917887100
4964,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,37822  >  21 [ACK] Seq=230 Ack=325 Win=64256 Len=0 TSval=2740647599 TSecr=1917887100
4965,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,37822  >  21 [ACK] Seq=230 Ack=363 Win=64256 Len=0 TSval=2740647599 TSecr=1917887100
4966,1,24:55.3,192.168.253.140,192.168.253.136,TCP,74,32976  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2740647599 TSecr=0 WS=128
4967,1,24:55.3,192.168.253.140,192.168.253.136,TCP,66,"37822  >  21 [RST, ACK] Seq=230 Ack=363 Win=64256 Len=0 TSval=2740647599 TSecr=1917887100"
4968,0,24:55.3,192.168.253.136,192.168.253.140,TCP,74,"80  >  32976 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1917887101 TSecr=2740647599 WS=128"
4969,0,24:55.3,192.168.253.140,192.168.253.136,TCP,66,32976  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2740647599 TSecr=1917887101
4970,1,24:55.3,192.168.253.140,192.168.253.136,TCP,74,32978  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2740647600 TSecr=0 WS=128
4971,1,24:55.3,192.168.253.140,192.168.253.136,HTTP,322,"GET /index.php?option=com_fields&view=fields&layout=modal&list[fullordering]=updatexml(1,concat(1,user()),1) HTTP/1.1 "
4972,0,24:55.3,192.168.253.136,192.168.253.140,TCP,74,"80  >  32978 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1917887102 TSecr=2740647600 WS=128"
4973,0,24:55.3,192.168.253.136,192.168.253.140,TCP,66,80  >  32976 [ACK] Seq=1 Ack=257 Win=65024 Len=0 TSval=1917887102 TSecr=2740647600
4974,0,24:55.3,192.168.253.140,192.168.253.136,TCP,66,32978  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2740647600 TSecr=1917887102
4975,0,24:55.3,192.168.253.136,192.168.253.140,HTTP,523,HTTP/1.1 404 Not Found  (text/html)
4976,0,24:55.3,192.168.253.136,192.168.253.140,TCP,66,"80  >  32976 [FIN, ACK] Seq=458 Ack=257 Win=65024 Len=0 TSval=1917887103 TSecr=2740647600"
4977,1,24:55.3,192.168.253.140,192.168.253.136,TCP,74,37828  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2740647601 TSecr=0 WS=128
4978,1,24:55.3,192.168.253.140,192.168.253.136,TCP,74,[TCP Out-Of-Order] 37828  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2740647601 TSecr=0 WS=128
