Snort,Time,Source,Destination,Protocol,Length,Info
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  3325 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  2500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"5900  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"23  >  45782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"22  >  45782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"8888  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"8080  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  23 [RST] Seq=1 Win=0 Len=0
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"80  >  45782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  22 [RST] Seq=1 Win=0 Len=0
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"110  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"111  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  80 [RST] Seq=1 Win=0 Len=0
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"53  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"139  >  45782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1720  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"995  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1723  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"3325  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  139 [RST] Seq=1 Win=0 Len=0
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"2500  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1201 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  8994 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1201  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  5988 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"222  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  902 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  5054 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
